IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
82.152.90.67,36007,TRUE,TPE,亚太,台北,180 ms,3731 kB/s
166.0.198.81,28048,TRUE,TPE,亚太,台北,152 ms,3663 kB/s
83.147.13.156,12580,TRUE,TPE,亚太,台北,152 ms,3609 kB/s
141.11.148.29,34137,TRUE,HKG,亚太,香港,218 ms,3605 kB/s
185.81.29.7,39009,TRUE,SIN,亚太,新加坡,175 ms,3547 kB/s
45.207.156.126,58656,TRUE,TPE,亚太,台北,217 ms,3515 kB/s
156.224.76.104,443,TRUE,HKG,亚太,香港,221 ms,3489 kB/s
45.207.35.0,49466,TRUE,HKG,亚太,香港,216 ms,3474 kB/s
154.83.91.169,4631,TRUE,NRT,亚太,日本东京,158 ms,3361 kB/s
104.192.92.148,443,TRUE,SIN,亚太,新加坡,164 ms,3360 kB/s
166.0.198.81,28092,TRUE,TPE,亚太,台北,156 ms,3328 kB/s
50.114.55.246,42308,TRUE,SIN,亚太,新加坡,192 ms,3259 kB/s
178.253.32.238,10291,TRUE,HKG,亚太,香港,219 ms,3193 kB/s
156.224.76.91,15004,TRUE,NRT,亚太,日本东京,222 ms,2982 kB/s
185.81.29.95,42027,TRUE,SIN,亚太,新加坡,164 ms,2974 kB/s
178.253.32.46,29191,TRUE,HKG,亚太,香港,215 ms,2973 kB/s
166.0.198.81,28059,TRUE,TPE,亚太,台北,179 ms,2943 kB/s
45.207.159.119,17009,TRUE,TPE,亚太,台北,152 ms,2875 kB/s
45.202.247.245,17665,TRUE,HKG,亚太,香港,213 ms,2717 kB/s
154.83.85.45,19361,TRUE,HKG,亚太,香港,213 ms,2707 kB/s
156.224.79.205,48443,TRUE,HKG,亚太,香港,223 ms,2589 kB/s
45.196.233.37,443,TRUE,NRT,亚太,日本东京,122 ms,2574 kB/s
91.229.132.199,8443,TRUE,HKG,亚太,香港,213 ms,2243 kB/s
154.83.87.83,443,TRUE,HKG,亚太,香港,220 ms,2233 kB/s
45.196.234.36,41033,TRUE,HKG,亚太,香港,162 ms,2197 kB/s
141.11.90.55,443,TRUE,HKG,亚太,香港,220 ms,2188 kB/s
45.207.35.55,24022,TRUE,HKG,亚太,香港,219 ms,2132 kB/s
156.226.175.194,18089,TRUE,FRA,欧洲,德国法兰克福,140 ms,2001 kB/s
45.202.247.245,37163,TRUE,HKG,亚太,香港,222 ms,1846 kB/s
156.231.115.191,443,TRUE,NRT,亚太,日本东京,118 ms,1810 kB/s
83.147.14.199,17009,TRUE,TPE,亚太,台北,168 ms,1474 kB/s
154.83.93.142,12497,TRUE,NRT,亚太,日本东京,118 ms,1218 kB/s
45.192.240.24,64000,TRUE,SIN,亚太,新加坡,155 ms,1152 kB/s
23.158.136.14,25864,TRUE,LAX,北美洲,美国洛杉矶,2 ms,1098 kB/s
23.158.136.14,25864,TRUE,LAX,北美洲,美国洛杉矶,63 ms,1063 kB/s
151.242.164.227,45850,TRUE,KUL,亚太,马来西亚吉隆坡,105 ms,1016 kB/s
45.207.156.126,13443,TRUE,HKG,亚太,香港,220 ms,933 kB/s
45.39.198.118,42813,TRUE,HKG,亚太,香港,213 ms,846 kB/s
154.83.92.113,22222,TRUE,NRT,亚太,日本东京,152 ms,722 kB/s
156.246.90.248,55361,TRUE,NRT,亚太,日本东京,106 ms,675 kB/s
141.11.148.192,62000,TRUE,HKG,亚太,香港,211 ms,672 kB/s
141.11.91.164,443,TRUE,HKG,亚太,香港,222 ms,495 kB/s
82.152.91.43,36007,TRUE,TPE,亚太,台北,185 ms,354 kB/s
154.16.10.34,8080,TRUE,HKG,亚太,香港,144 ms,176 kB/s
45.202.247.85,57889,TRUE,HKG,亚太,香港,243 ms,109 kB/s
141.11.86.157,17009,TRUE,TPE,亚太,台北,159 ms,95 kB/s
83.147.15.155,17009,TRUE,HKG,亚太,香港,152 ms,91 kB/s
166.0.199.115,17009,TRUE,TPE,亚太,台北,206 ms,57 kB/s
38.207.130.196,443,TRUE,NRT,亚太,日本东京,104 ms,19 kB/s
151.242.125.226,9080,TRUE,HKG,亚太,香港,149 ms,16 kB/s
141.11.91.67,8080,TRUE,HKG,亚太,香港,227 ms,16 kB/s
154.16.10.4,443,TRUE,HKG,亚太,香港,223 ms,15 kB/s
45.39.198.196,28103,TRUE,HKG,亚太,香港,217 ms,12 kB/s
141.11.90.246,443,TRUE,HKG,亚太,香港,222 ms,12 kB/s
23.158.136.89,10308,TRUE,LAX,北美洲,美国洛杉矶,1 ms,4 kB/s
45.207.34.212,443,TRUE,HKG,亚太,香港,210 ms,0 kB/s
104.234.233.123,5414,TRUE,SIN,亚太,新加坡,166 ms,0 kB/s
156.246.91.129,29093,TRUE,NRT,亚太,日本东京,102 ms,0 kB/s
45.207.156.126,13443,TRUE,HKG,亚太,香港,223 ms,0 kB/s
154.16.10.118,3011,TRUE,LHR,欧洲,英国伦敦,142 ms,0 kB/s
156.246.93.243,16219,TRUE,NRT,亚太,日本东京,102 ms,0 kB/s
45.196.235.225,443,TRUE,HKG,亚太,香港,151 ms,0 kB/s
